Source,Target,Weight
0tsutsukiM0n,detikcom,1
0x_pastaMan,anvie,1
0x_pastaMan,neohistoria_id,1
0xsubekti,anonjawa,1
0xsubekti,keyopinionlead,1
101strk,AHEGA0J00NG,1
101strk,TheNugrawesome,1
101strk,chubbyneoguri,1
2komaini_ahmad4,ncuz_3a16,1
4anonimitas,sofiesyarief,1
4anonimitas,wisnu_prasetya,1
6u5tiLiem,Mdy_Asmara1701,1
6u5tiLiem,zer0failed,1
73eb553d74864d6,Aryprasetyo85,1
AJIBdg,AJIIndonesia,1
ASSurakarta1923,tiranosansss,1
A_Ryo77,Tan_Mar3M,1
A_Ryo77,blank0429,2
AbiyRiskifa,grok,2
AbiyRiskifa,nessiejudge,1
Adhit_Android,ELNKNTL,1
AdityaJere89853,DPR_RI,1
AfganPrionggo,EdwrdPatrick,1
AhmadRoyhan33,kikysaputrii,1
AlcierMadh,pandji,1
Aldo_regi15,jackjackparrr,1
Andrejivisi,Mdy_Asmara1701,1
Andrejivisi,adhepur,1
Angka1215,DrEvaChaniago,1
Angka1215,msaid_didu,1
Ardi45055074,JalmowonoArief,1
Ardi45055074,Kimberley_PS08,2
Ardi45055074,barqimunir06,1
Asep_Shelby,Rebornian48,1
Babatmentai,hopemikenzi,1
Bazingarock,ARSIPAJA,1
BintangGuci,corbuzier,1
BonarSiaha55396,mohmahfudmd,1
BongkahI,DPR_RI,1
Brahim_maldini,ernestprakasa,1
Bud_Cavalera,ferrykoto,1
Budisae_,akhlakminus,1
BukanTikus_,ARSIPAJA,1
Burudull,TheEagle_BEN,1
CarolineSarah5,Anak__Ogi,1
CarolineSarah5,StefanAntonio__,1
CarolineSarah5,jokowi,1
CarolineSarah5,kemkominfo,1
ChunZTR,ha____ppare,1
Coklatkejuenk,Nara_IDN,1
Coklatkejuenk,ciumjingyuan,1
Coklatkejuenk,fatherbuysmilk,1
ConeFozz,infoXwor_,1
CryptoOdet,hnirankara,1
Danzo5himura,ARSIPAJA,1
Danzo5himura,tanyakanrl,1
DarahBiroe,PartaiSocmed,1
DarahBiroe,PaulusWijaya007,1
DarahBiroe,ekraf_ri,1
Dasyasmina,SoeTjenMarching,1
DavidBelcrant,ARSIPAJA,1
DavidBelcrant,hnirankara,1
DeniSupriyadi06,007koteka,1
DeniSupriyadi06,03__nakula,1
DeniSupriyadi06,AJIIndonesia,1
DeniSupriyadi06,Anak__Ogi,1
DeniSupriyadi06,AntoniusCDN,1
DeniSupriyadi06,Aryprasetyo85,1
DeniSupriyadi06,KPK_RI,1
DeniSupriyadi06,Miduk17,1
DeniSupriyadi06,NgkongRoses,1
DeniSupriyadi06,erickthohir,1
DeniSupriyadi06,officialMKRI,1
DeniSupriyadi06,serakyut,1
DeniSupriyadi06,seruanhl,1
DeriSepti,ainascnrrmt,1
DeriSepti,yosefikr,1
EndraSept,NarasiNewsroom,1
EndraSept,logos_id,1
EstchenDahl,Wicthd14Ddy,1
EstchenDahl,jstwillians,1
ExThar_ofc,cinnamongirlc,1
ExThar_ofc,nervessean,1
FARHAN2Humanity,okkymadasari,1
FRAKasdf,DamarWibawa,1
Fadlipenyair12,keuangan,1
Fadlipenyair12,keuangannews_id,1
Fai03vrd,pandji,1
FanyRihardi,UXLINKofficial,1
FanyRihardi,onunblocked,1
Firados1,remotivi,1
Frido310595,timpenguinnas,1
Fuzui_jamrd,jstwillians,1
GamesRha,ARSIPAJA,6
GamesRha,B0babobabobabo,2
GamesRha,auzaanf,1
GamesRha,fallingmonstar,6
GamesRha,nuvillaera,6
Gespentser,ARSIPAJA,1
Gespentser,fallingmonstar,1
Giro004,GemaShowIndo,1
Giro004,TrustMe3Buddy,1
Giro004,ernestprakasa,1
Giro004,remotivi,1
GrindingBasara,ardisatriawan,1
GrindingBasara,galihKA,1
GunDawan8,ernestprakasa,1
Gundaaaamn,Purrell_Fiktif,1
HMJUSUFRIZAL,ForHumBUMN,1
HMJUSUFRIZAL,KemenBUMN,1
HMJUSUFRIZAL,ListyoSigitP,1
HMJUSUFRIZAL,SATULSM_LIRA,1
HMJUSUFRIZAL,dewanpers,1
HMJUSUFRIZAL,erickthohir,1
HMJUSUFRIZAL,kadivhumaspolri,1
HMJUSUFRIZAL,usernotfund34,1
Hamdiirawan17,ARSIPAJA,1
Hamdiirawan17,corbuzier,2
Hamdiirawan17,hamba_sahaaya,1
Hamdiirawan17,memefess,1
Hatamian11,30imagi,1
Hatamian11,ShaniBudi,1
Hatamian11,_haye_,1
Hatamian11,bima_ynwa_92,1
Hatamian11,nusapelagos,1
Hiemuzaaa,kumparan,2
Hiemuzaaa,my_starryskyy,1
Hiemuzaaa,setyotomo16,1
IkhsanRevanur,MythiaVTuber,1
Imade_kun,CurhatKRL,1
Imade_kun,ShellyTanoto,1
InilahMojokerto,DPR_RI,1
Ivanien11,KakekHalal,1
Ivanien11,PDI_Perjuangan,1
JackMoon_MikeAK,remotivi,1
JamesHarletv2,kemkominfo,1
JarjitPacul,barengwarga,1
JonKoplomukidi,MichelAdam7__,1
KOPKENTOT,yuniperes,1
KaixaVtuber,Cah_bedor,1
KaixaVtuber,MichelAdam7__,2
KaptenMala44,peter_parkour12,1
KcroxJ,ARSIPAJA,1
KcroxJ,zfhorsed,1
KenDjoko,remotivi,1
KenapaGwWNI,julidah168,1
KenapaGwWNI,regulusaja,1
Kertaaslusuh,ARSIPAJA,1
Kevin_asGudier,pandji,1
KolondamSamuel,Adiprayitno_20,2
KolondamSamuel,Dennysiregar7,1
KolondamSamuel,YNaisunis,1
KolondamSamuel,corbuzier,1
KomnasPerempuan,DPR_RI,1
KrazzyCats,ARSIPAJA,2
KrazzyCats,GamesRha,2
KrazzyCats,fallingmonstar,2
KrazzyCats,nuvillaera,2
KuntoAjiW,txtdrjkt,1
Kusumah94841006,corbuzier,1
LPM_Dinamika,LPMTEROPONGUMSU,1
