published_date,title,source,description,link,date_string
2025-04-28,Dirjen PHU Kemenag Hingga Pimpinan Maskapai Diundang DPR,Rmol.id,Komisi VIII DPR menggelar Rapat Dengar Pendapat (RDP) dengan Direktur Jenderal Pelaksana Haji dan Umrah Kementerian Agama (PHU Kemenag) di.,https://rmol.id/politik/read/2025/04/28/664574/dirjen-phu-kemenag-hingga-pimpinan-maskapai-diundang-dpr,28 Apr 2025
2025-04-28,Kalangan Kampus Minta Revisi UU Penyiaran Segera Dilakukan,nasional.okezone.com,Kalangan kampus mendukung penuh dilakukannya revisi terhadap Undang-Undang RUU Penyiaran tahun 2002.,https://nasional.okezone.com/amp/2025/04/28/337/3134539/kalangan-kampus-minta-revisi-uu-penyiaran-segera-dilakukan,28 Apr 2025
2025-04-28,"Tolak Sejumlah RUU Kontroversial, Ratusan Mahasiswa Untirta Geruduk DPRD Banten",Faktabanten.co.id,SERANG – Ratusan mahasiswa dari Keluarga Besar Mahasiswa Universitas Sultan Ageng Tirtayasa (KBM Untirta) menggelar aksi unjuk rasa di depan Gedung DPRD...,https://faktabanten.co.id/daerah/tolak-sejumlah-ruu-kontroversial-ratusan-mahasiswa-untirta-geruduk-dprd-banten/,28 Apr 2025
2025-04-27,RUU Penyiaran sebagai Ancaman terhadap Kebebasan Pers di Indonesia - kumparan.com,kumparan,"RUU Penyiaran seharusnya menjadi instrumen untuk memperkuat kualitas informasi dan keberagaman konten, bukan menjadi alat pembatas kebebasan pers.",https://kumparan.com/alya-azrah/ruu-penyiaran-sebagai-ancaman-terhadap-kebebasan-pers-di-indonesia-24wcazOQFzC,27 Apr 2025
2025-04-26,"RUU Polri dan Penyiaran: Pers Dibungkam, Polisi Dikuatkan - Kompasiana.com",Kompasiana.com,"Komite Keselamatan Jurnalis (KKJ) mengecam keras serangan digital terhadap portal berita Tempo.co yang terjadi sejak Minggu, 6 April 2025. Serangan berupa...",https://www.kompasiana.com/kastratbemfikesub/680c4b26c925c47bbd0c75f2/ruu-polri-dan-penyiaran-pers-dibungkam-polisi-dikuatkan?page=all&page_images=1,26 Apr 2025
2025-04-26,RUU Penyiaran : Pembaruan atau Pembungkaman - Kompasiana.com,Kompasiana.com,"RUU Penyiaran menuai kontroversi. Alih-alih memperkuat regulasi , sejumlah pasal dalam draf RUU ini justru dianggap mengancam kebebasan pers.",https://www.kompasiana.com/andimuhammadazzukhruf0078/680bc8d534777c088122b0e3/ruu-penyiaran-pembaruan-atau-pembungkaman,26 Apr 2025
2025-04-24,Ahmad Doli Belum Tahu Siapa Pengusul Enam Daerah Istimewa,Rmol.id,Anggota Komisi II DPR Ahmad Doli Kurnia belum mengetahui secara pasti mana saja dari 6 daerah yang minta diganti statusnya.,https://rmol.id/politik/read/2025/04/24/664208/ahmad-doli-belum-tahu-siapa-pengusul-enam-daerah-istimewa,24 Apr 2025
2025-04-24,Kardinal Lazarus You Heung Sik Masuk Daftar Calon Paus Menurut Media Italia Jelang Konklaf Vatikan - Kpop Chart,Kpop Chart,"Sikap menantang ini justru membuat Paus merespons dengan kunjungan bersejarah, yang melanggar kebiasaan hanya hadir di pertemuan global seperti World Youth...",https://www.kpopchart.net/k-update/91615014446/kardinal-lazarus-you-heung-sik-masuk-daftar-calon-paus-menurut-media-italia-jelang-konklaf-vatikan?page=2,24 Apr 2025
2025-04-23,Urgensi Pengaturan Kecerdasan Artifisial dalam RUU Penyiaran,Universitas Muhammadiyah Jakarta - UMJ,Urgensi Pengaturan Kecerdasan Artifisial dalam RUU Penyiaran ... Komisioner Komisi Penyiaran Indonesia Pusat sekaligus Dosen FISIP UMJ Amin Shabana menjelaskan...,https://umj.ac.id/opini-1/urgensi-pengaturan-kecerdasan-artifisial-dalam-ruu-penyiaran/,23 Apr 2025
2025-04-22,Mahasiswa UK Petra Belajar Dunia Broadcasting Langsung di Suara Surabaya,Suara Surabaya,Kurang lebih 40 mahasiswa program studi Ilmu Komunikasi Universitas Kristen (UK) Petra Surabaya mengunjungi Suara Surabaya Media pada Selasa (22/4/2025).,https://www.suarasurabaya.net/kampoengmedia/2025/mahasiswa-uk-petra-belajar-dunia-broadcasting-langsung-di-suara-surabaya/,22 Apr 2025
2025-04-22,Komisi IV DPR Setuju Pembukaan Blokir Anggaran KKP,Rmol.id,DPR menyetujui pembukaan anggaran Kementerian Kelautan dan Perikanan (KKP) yang sempat diblokir Kementerian Keuangan lantaran adanya kebijakan efisiensi...,https://rmol.id/politik/read/2025/04/22/663939/komisi-iv-dpr-setuju-pembukaan-blokir-anggaran-kkp,22 Apr 2025
2025-04-22,RUU ASN dibahas di Komisi II DPR atas penugasan Baleg,ANTARA News,Ketua Komisi II DPR RI Rifqinizamy Karsayuda mengatakan Rancangan Undang-Undang (RUU) tentang Perubahan atas Undang-Undang Nomor 20 Tahun 2023 tentang ...,https://m.antaranews.com/amp/berita/4785813/ruu-asn-dibahas-di-komisi-ii-dpr-atas-penugasan-baleg,22 Apr 2025
2025-04-21,Kadin Indonesia Gelar FGD RUU Penyiaran | SIS | 21/04,YouTube,Yuk Subscribe https://www.youtube.com/@SeputariNews Selengkapnya baca di: https://www.inews.id/ Follow Our Official Twitter:...,https://www.youtube.com/watch?v=LsKhBdbrdhs,21 Apr 2025
2025-04-19,"RUU Penyiaran, Kadin Dorong Harmonisasi Regulasi untuk Persaingan Sehat | Sindo Malam | 19/04",YouTube,Yuk Subscribe https://www.youtube.com/@OfficialSINDOnews Kamar Dagang dan Industri (Kadin) Indonesia menyelenggarakan Focus Group Discussion (FGD) Rancangan...,https://www.youtube.com/watch?v=U4tXGpxWt0k,19 Apr 2025
2025-04-18,"Diskusi RUU Penyiaran, Kadin Indonesia Dorong Harmonisasi Regulasi untuk Persaingan Sehat | tvOne",YouTube,"Kabar Pagi, https://www.tvOnenews.com - Diskusi RUU Penyiaran, Kadin Indonesia Dorong Harmonisasi Regulasi untuk Persaingan Sehat | tvOne Kamar Dagang dan...",https://www.youtube.com/watch?v=CExNAG0e7tU,18 Apr 2025
2025-04-18,Album Solo Ucok ’Homicide’,Kompas.id,"Penyanyi rap Herry Sutresna atau Ucok 'Homicide' masih konsisten mengangkat isu politik dalam karyanya, termasuk dalam album solo yang sedang ia garap.",https://www.kompas.id/artikel/album-solo-herry-sutresna,18 Apr 2025
2025-04-16,Kadispenad pastikan TNI AD ikuti RUU TNI terkait penempatan prajurit,ANTARA News,Kepala Dinas Penerangan Angkatan Darat (Kadispenad) Brigjen TNI Wahyu Yudhayana memastikan TNI AD akan mengikuti aturan dalam Rancangan Undang-Undang TNI .,https://m.antaranews.com/amp/berita/4775741/kadispenad-pastikan-tni-ad-ikuti-ruu-tni-terkait-penempatan-prajurit,16 Apr 2025
2025-04-16,Wacana Pangkalan Militer Asing di Indonesia Langgar Politik Bebas Aktif,Rmol.id,Anggota Komisi I DPR TB Hasanuddin menyoroti laporan media internasional terkait permintaan resmi dari negara Federasi Rusia kepada pemerintah Indonesia.,https://rmol.id/politik/read/2025/04/16/663171/wacana-pangkalan-militer-asing-di-indonesia-langgar-politik-bebas-aktif,16 Apr 2025
2025-04-15,AI: praktek dan RUU Penyiaran,ANTARA News,"Pada konteks Indonesia, definisi AI ada dalam Surat Edaran Menkominfo RI no.9 tahun 2023. Meski tidak spesifik terkait penyiaran, Kecerdasan Artifisial dalam SE...",https://www.antaranews.com/berita/4771565/ai-praktek-dan-ruu-penyiaran,15 Apr 2025
2025-04-14,Polisi Tidak Punya Wewenang Membatasi Jurnalis Asing,JPNN.com,JPNN.com Jogja : Dosen Universitas Gadjah Mada (UGM) mengkritik aturan jurnalis asing wajib mengantongi izin kepolisian saat liputan.,https://jogja.jpnn.com/jogja-terkini/11017/polisi-tidak-punya-wewenang-membatasi-jurnalis-asing,14 Apr 2025
